Date,Open,High,Low,Close,Adj Close,Volume
9/10/2018,544.5,544.5,544.5,544.5,544.5,0
9/11/2018,450,495,441,490.5,490.5,1
9/12/2018,477,481.5,432,481.5,481.5,2
9/13/2018,481.5,481.5,481.5,481.5,481.5,0
9/14/2018,423,423,409.5,409.5,409.5,18
9/17/2018,409.5,409.5,409.5,409.5,409.5,0
9/18/2018,477,477,459,459,459,2
9/19/2018,450,450,369,369,369,92
9/20/2018,405,418.5,405,418.5,418.5,7
9/21/2018,418.5,418.5,418.5,418.5,418.5,0
9/24/2018,427.5,427.5,414,423,423,1
9/25/2018,400.5,400.5,400.5,400.5,400.5,11
9/26/2018,382.5,391.5,378,378,378,4
9/27/2018,396,396,382.5,382.5,382.5,3
9/28/2018,405,405,405,405,405,11
10/1/2018,351,436.5,351,382.5,382.5,0
10/2/2018,391.5,391.5,391.5,391.5,391.5,1
10/3/2018,427.5,427.5,396,396,396,22
10/4/2018,418.5,423,418.5,418.5,418.5,2
10/5/2018,414,418.5,342,418.5,418.5,19
10/8/2018,418.5,418.5,418.5,418.5,418.5,0
10/9/2018,405,432,405,409.5,409.5,1
10/10/2018,351,360,333,360,360,44
10/11/2018,373.5,373.5,342,360,360,15
10/12/2018,351,351,351,351,351,0
10/15/2018,360,360,360,360,360,0
10/16/2018,319.5,360,319.5,360,360,1
10/17/2018,351,351,333,333,333,14
10/18/2018,301.5,355.5,301.5,355.5,355.5,7
10/19/2018,355.5,355.5,355.5,355.5,355.5,0
10/22/2018,310.5,360,310.5,360,360,11
10/23/2018,378,378,360,360,360,1
10/24/2018,382.5,382.5,351,351,351,6
10/25/2018,351,351,351,351,351,0
10/26/2018,373.5,373.5,373.5,373.5,373.5,0
10/29/2018,373.5,373.5,337.5,337.5,337.5,0
10/30/2018,337.5,337.5,337.5,337.5,337.5,0
10/31/2018,337.5,337.5,337.5,337.5,337.5,0
11/1/2018,324,324,324,324,324,3
11/2/2018,324,324,324,324,324,0
11/5/2018,337.5,337.5,337.5,337.5,337.5,3
11/6/2018,328.5,328.5,328.5,328.5,328.5,11
11/7/2018,319.5,319.5,319.5,319.5,319.5,5
11/8/2018,319.5,319.5,319.5,319.5,319.5,0
11/9/2018,319.5,319.5,319.5,319.5,319.5,0
11/12/2018,319.5,319.5,319.5,319.5,319.5,0
11/13/2018,306,328.5,306,310.5,310.5,1
11/14/2018,310.5,310.5,310.5,310.5,310.5,0
11/15/2018,328.5,400.5,328.5,400.5,400.5,2
11/16/2018,391.5,391.5,319.5,319.5,319.5,2
11/19/2018,319.5,319.5,319.5,319.5,319.5,0
11/20/2018,387,387,378,378,378,0
